song_name,song_id,song_popularity,song_release,song_duration
The Cure,34oB5r0lcN3fYWCs2uA1k5,67,2017-04-16,3.52
Defying Gravity - Edit,7DYH202qpZ1MwLBMd7uvb1,65,2024-11-22,3.56
I'm with You,1jlG3KJ3gdYmhfuySFfpO1,78,2002-06-04,3.72
Make Your Own Kind Of Music,6H3Wa6hWR9DRMzMSd4pZkT,69,1973-09-28,2.33
Sports car,2zOmS55knKWSgScYPTNmGQ,88,2025-01-24,2.75
Fat Juicy & Wet,5M2lX0ZAYSAzCs1xPPi9BX,81,2025-01-24,2.35
Girl Feels Good,536rHxlVFXGJBO2xWE7HsV,65,2025-01-24,3.95
Can't Be Tamed,2r6DdaSbkbwoPzuK6NjLPn,64,2010-01-01,2.8
Brave,6Uy6K3KdmUdAfelUp0SeXn,70,2013-07-16,3.68
7 Things - Single Version,5ecZWU5uQOiCVSnPxBZNmT,65,2008-01-01,3.56
Round & Round,5RhxBpoCwX2vLBcSJzYa5j,61,2010-01-01,3.11
"Determinate - From ""Lemonade Mouth""",4qEoqyPbLYnLOii6mKlIjI,66,2011-01-01,3.3
KLOuFRENS,4MUrUT38U98olfnyzMBCzm,90,2025-01-05,3.32
PERFuMITO NUEVO,1Q9Efnm5csdCMFynISxL2x,87,2025-01-05,3.34
Hate the Club (feat. Masego),0QUbiLQySWPq5Lh3f7A9bN,58,2020-05-08,4.65
Give Me All Your Luvin',2woCC5hiuPTDAonxhEojP0,44,2012-01-01,3.38
Unknown Number,1cAFDCGAqqzJCxmgto5qxF,44,2009-10-16,3.58
This Is Why We Can't Have Nice Things,07NxDD1iKCHbAldceD7QLP,70,2017-11-10,3.45
I Had Some Help (Feat. Morgan Wallen),5IZXB5IKAD2qlvTPJYDCFB,87,2024-08-15,2.97
You,2cc8Sw1OnCuA5bV8nqWqpE,72,2021-04-16,3.89
Power is Power (feat. The Weeknd & Travis Scott),4cbdPT6uaBOgOQe3fLMofl,64,2019-04-26,3.52
As,13toFl1UwJPsRxDiD9jgtn,67,1976-09-28,7.14
Honey,0GMZYC6lcrpnwjDiEtDO8i,60,2023-10-13,3.45
Instant Crush (feat. Julian Casablancas),2cGxRwrMyEAp8dEbuZaVv6,81,2013-05-20,5.63
ART,40ds3xedbMkWhszkGnZwxi,74,2024-03-22,2.48
No Love (with SZA),08SB2OtZkaliju77WYEKxk,76,2021-11-05,3.86
"dodger blue (feat. wallie the sensei, siete7x, roddy ricch)",4K1Pg0FLno1ltzX3jeqT83,80,2024-11-22,2.19
Pain,4S4QJfBGGrC8jRIjJHf1Ka,84,2021-10-15,1.64
Alright,3iVcZ5G6tvkXZkZKlMpIUs,84,2015-03-16,3.66
Mourning,0gWrMbx6pbdH3n3nsLjE55,65,2023-05-19,2.46
I'll Be Lovin' U Long Time,1PzVLh1uoq5pAUnqNQElQq,52,2008-04-04,3.02
Slave to the Rhythm,4h5KB1btt2aZBq9EJHmWF4,60,2014-05-09,4.27
Something We Can Make Love To,64PoJXs9xLChTGulsYyst6,24,2024-08-23,3.52
Après Minuit (feat. Tiakola),7JKGyMt8qkTaUHXFpxgjY2,68,2024-11-22,2.95
My Place,1NAyvpW70a9lxY0YlLWFV4,65,2004-09-14,5.61
"Sorry, Blame It On Me",61BqwgSRTyWH9M4uPjsC3B,72,2022-03-04,4.93
You're Makin' Me High,5bJ796cOnGBzSN5bm4mwMj,65,1996-06-18,4.46
You're Makin' Me High,5iP6VWh8goBkJcXBMQSejA,73,2024-06-28,2.78
Hold Me Down,1Mza2sr6tPhy6jjI3HB9fW,71,2017-08-25,3.85
Ah W Noss,2n45sK6aEas1Wwnt4Obj7z,62,2004-01-01,4.68
Un-thinkable (I'm Ready),4JOP8ELK6AaeySe7sKe996,69,2009-12-15,4.15
Replay,4E5P1XyAFtrjpiIxkydly4,84,2009-08-18,3.04
Lonely,4v7DCN09hgXkKazefkznDQ,81,2005-01-01,3.93
I Know You Want Me (Calle Ocho),5RzFJd6W40SDTyZkX6xx45,72,2009-08-31,3.95
I Cry,4bZd0nRuX8HyjeXAUBczvm,74,2012-06-22,3.73
I Ain't Thru,4aX7EcCo7qIaEboip4FiA9,39,2010-01-01,3.98
I Should Have Cheated,5tFDgH6do20IXdSoNBAmXK,65,2005-01-01,5.46
Get Behind Me (Interlude),4UW1Vk7hrZNyGCOmd6qQrH,61,2024-12-20,1.8
Kitchen,3VPeA7IW68QRNTfgzb6biZ,73,2024-12-20,2.87
Diamond Boy (DTM),0SCIwbS0Q4etwJmDyNjHaQ,72,2024-12-20,3.63
30 For 30 (with Kendrick Lamar),3aSWXU6owkZeVhh94XxEWO,89,2024-12-20,4.64
What Do I Do,6jTQijAuYxOd8DjQ8D6UkL,77,2024-12-20,2.79
No More Hiding,3obGrchYRmtO5rk4O2ZtLZ,67,2024-12-20,2.71
Peggy,6UPiTNzNmUFE59YkkyCs9n,76,2024-12-05,2.66
I'm Into You,1l9OdG3g9o3TYcU7xI8yWE,41,2011-04-29,3.34
Sugar (feat. Wynter),75dHnNDDenNLCUwU1Shvcj,50,2009-03-23,4.22
Like Whoa,44e84JcEUfOs9cNGu8nwU5,55,2007-01-01,2.51
Don't Phunk With My Heart,4MtDnnAJ1AtWit10FRmZdW,52,2005-01-01,4.0
Highway Unicorn (Road To Love),63EubPPucSZlK4mXAZOP6G,42,2011-01-01,4.26
Built This Way - Slowed,4qdeY9W7NYLSHlF3nX43TW,53,2022-02-11,4.27
Magnets,7nRmfGNhHKEEu5o8yFXLXt,67,2015-09-25,3.32
Hair,2uk0YH2ahN0UE5jaCMa5jn,51,2011-01-01,5.13
Tun Up,02bIW8fnIxjC3Y1ICyQVr7,37,2012-05-08,2.92
Tears Don't Fall,5pKCDm2fw4k6D6C5Rk646C,69,2005,5.81
Hold Me Closer,72yP0DUlWPyH8P7IoxskwN,75,2022-08-26,3.37
Symphony (feat. Zara Larsson),1x5sYLZiu9r5E43kMlt9f8,77,2017-03-16,3.54
Got Me Good,2KrrkENWfhnfgjIclMpPiS,47,2012-11-06,3.88
These Walls (feat. Pierre de Maere),67LH2dzXF67Oi80yJaVYd7,70,2024-11-08,3.63
DELUSIONAL. - Edit,1eGgMQyOubLxfZjbROuAR4,58,2024-11-29,3.26
Drums of Death,1xefwf39r1PWiOKS40Z31n,50,2024-11-14,3.19
Redbone,3vQ4T78TTMOjQXGfXVKQJo,84,2016-12-02,5.45
Never Just For A Ring,6iR0L7K3B1JPTyeZo0lwbd,38,2000,4.02
Water,0wYwXrgGrrU1idueX5A1wJ,63,2024-03-22,3.34
Maybe,5K8oEJ4QADEvton0db2aWG,36,2000,3.15
The Art Of Love,14RbJChSU6plBlAfUhAkGM,34,2000,3.79
I'm Still Breathing,7r3ZDv5CoIvWH0fDWMizJQ,40,2000,4.25
Gimme Some,2fw88M33MmOW6gQ6ACtfNc,32,2000,4.05
The Heat,7HErma1ht0kUE4kIahqrja,46,2000,3.5
Un-Break My Heart,5Ihd9HrPvOADyVoonH9ZjB,74,1996-06-18,4.51
Breathe Again,1xFliXOpcu7E89AsDAZ7JV,64,1993-07-13,4.49
Cater 2 U,0FZvjrHpAmLKj574M4VwrF,64,2004,4.09
Video Games,10oqbIucXeoJOaH99fKfXh,57,2011-01-01,4.7
Stronger (What Doesn't Kill You),1nInOsHbtotAmEOQhtvnzP,77,2011-10-24,3.7
Man Down,454h9zAIuTe1eJyw9iTnj4,64,2010-11-16,4.45
When Love Takes Over (feat. Kelly Rowland),0GWGZA5mxo9nHuSyrj70uo,76,2010-11-22,3.18
Motivation,4Cv5dkUBqepa0siwGREihD,64,2011-01-01,3.85
Heads Will Roll,18oWEPapjNt32E6sCM6VLb,67,2009-03-06,3.68
You Make Me Feel... (feat. Sabi),16Of7eeW44kt0a1M0nitHM,75,2011-08-29,3.59
Mask Off,0VgkVdmE4gld66l8iyGjgx,85,2017-06-30,3.41
Dior,79s5XnCN4TJKTVMSmOx8Ep,79,2019-07-26,3.61
Candy Shop,5D2mYZuzcgjpchVY1pmTPh,82,2005-03-03,3.49
Loyal (feat. Lil Wayne & Tyga),5BrTUo0xP1wKXLJWUaGFtk,79,2014-09-16,4.42
23,20FZrLl9zSbO9b3DhaqO6M,73,2013-01-01,4.21
I Follow Rivers - The Magician Remix,4Jv7lweGIUOFQ7Oq2AtAh9,74,2011-10-10,4.67
Slide (feat. Frank Ocean & Migos),7tr2za8SQg2CI8EDgrdtNl,78,2017-06-30,3.85
3005,2X6b7zLdIxCejd6GqVcQ9M,81,2013-12-10,3.9
Truffle Butter,6qwVQ7XmnH9zwmnkGvCCmJ,41,2015-01-23,3.65
Eenie Meenie - Radio Version,4Yaw2PmyOETOnEM3TCf98I,60,2020-02-28,3.37
Paint The Town Red,56y1jOTK0XSvJzVv9vHQBK,77,2023-09-20,3.84
Wasted Times,72TyiiduRmczEbDIEtKQdR,0,2018-03-30,3.67
Love/Paranoia,5h9hkYIBWTZYFRmF6Iz1gt,67,2015-07-17,3.1
Turn Around (feat. Ne-Yo),5j62iEYRzttCfy6qbK07IJ,53,2012-07-09,3.87
Tap In,4Hpib09wXgD84w4uwTPnYD,65,2020-06-17,2.32
Younger Now,2fGxYYMQbVqgIdaqfz2OwA,54,2017-09-29,4.15
Motivation,0rIAC4PXANcKmitJfoqmVm,68,2019-08-16,3.23
Crying in the Club,1SJtlNRJDeYHioymcvsqev,69,2017-05-18,3.61
A Little Party Never Killed Nobody (All We Got),1yW00C89gUWPvUh5fkyzz4,63,2013-01-01,4.01
M.I.L.F. $,1zDJ253HHk2TBoaO6nGUxL,58,2017-09-22,2.7
Close To Me,2GjMaJ7DacMIkgoe8oMXGg,66,2020-07-17,3.04
Sympathy is a knife featuring ariana grande,3nQ24dxqvxZEVwlHTeuLz0,73,2024-10-11,2.57
Aston Martin Music - Edit,3ZF3TivVsS8MZ7wD0ZT3ZA,38,2010-01-01,4.51
Whataya Want from Me,4SlcrOmbIywEz1AoXI1Pyc,49,2010-11-12,3.78
Talibans II - Bonus Track,1WsIk6g7dD8LZouywnzGUb,61,2023-08-24,2.94
tv off (feat. lefty gunplay),0aB0v4027ukVziUGwVGYpG,94,2024-11-22,3.68
Heaven Can Wait,1AZXNAVDD9ZFIEKySgflFz,76,2001-10-29,4.81
Beautiful,7FrJV8tydWEv1Mxu2mIQrm,73,2002-01-01,4.97
Like a Boy,1qoRqpfQdPf0SftHDo7w4o,62,2006,3.95
YOU'RE THE ONE (feat. Syd),2kYf8lZWXI4Ajd7ZhVhKhu,52,2016-05-06,3.8
Defying Gravity,5QMrH5nszZZR3nefIj6Mar,81,2024-11-22,7.66
luther (with sza),45J4avUb9Ni0bnETYaYFVJ,93,2024-11-22,2.96
Mine,27UB48yRwGTsPsswfAbgN1,53,2024-09-20,2.85
The Only Exception,7JIuqL4ZqkpfGKQhYlrirs,81,2009-09-22,4.46
Make Me Like You,5ViT05yjdBQgPOwckL762B,46,2016-03-18,3.62
Skyfall,6VObnIkLVruX4UVyxWhlqm,86,2012-10-04,4.77
Shark In The Water,0TcFqXBMga80dWkWbzIl7p,49,2009-01-01,3.07
Replay,2dFqK2ZkYB9Xc47gr3xXWl,73,2021-09-14,3.0
FOREVER (with 6LACK),2lVYLiHGIX6GajMqYXF1Un,64,2022-09-16,3.72
Despacito - Remix,6rPO02ozF3bM7NnOV4h6s2,73,2017-04-17,3.81
No Time To Die,73SpzrcaHk0RQPFP73vqVR,78,2020-02-13,4.04
2 hands,1f18HzFpegqvH4ibGJyeMJ,74,2024-11-14,3.03
PUSH 2 START,1Cbl3Yq8rHo7hhDQmLQagU,88,2024-10-11,2.61
Fantasy,6dpPD92UT5ETTb56EI57yI,61,2024-10-18,3.61
Jealousy - From the Vault,44jX2MFYW9vDayWo94q6TA,47,2024-09-27,3.75
Yummy - Righteous Remix,4UQijskfH7GRycjz77buzW,77,2023-12-01,2.73
Potential Breakup Song,11dxtPJKR4E0wlSr0A0t47,67,2007-01-01,3.66
God Is a DJ,4k1ffvQabEZP9dxwhCkxY9,55,2003-11-10,3.76
Gypsy Woman (She's Homeless) (La Da Dee La Da Da) - Radio Edit,4QAKfScH8kLJTbJqhb2jp2,62,1991-01-01,3.83
MMMBop,0lnxrQAd9ZxbhBBe7d8FO8,71,1997-01-01,4.48
"I'll Be Missing You (feat. Faith Evans, 112)",3QHONiXGMGU3z68mQInncF,74,2004-03-09,5.03
She Wolf,4l9fZ75WzPZlAIkqJIWlo8,73,2009-10-09,3.15
Yeah! (feat. Lil Jon & Ludacris),5rb9QrpfcKFHM1EUbSIurX,88,2004-03-23,4.17
Housekeeping Knows (feat. Latto),3YPEtDvQWStCH8eCq0Fl8Z,64,2024-08-30,3.11
Illusion,5q0EXnBYyeCdXD72FzJxH0,80,2024-05-03,3.14
The Zephyr Song,1ndGB6rvxKYN9seCYO1dTF,78,2002-07-09,3.87
Promises,2LCCxYQ5dw1dz3Pu6APEUH,54,2011,4.29
Sing - Commonwealth Version,6dJr2Mrh8WCuJCkaCRMXk1,38,2012-01-01,4.59
The Knife,6axvsEl14rlaUWKEt9CSFR,51,2019-01-18,3.99
Ray of Light,4Fpsa3pYc3gozrxHRRPvR6,62,1998-03-03,5.37
Another Day in Paradise - 2016 Remaster,1NCuYqMc8hKMb4cpNTcJbD,82,1989-11-20,5.37
If I Believe You,2J3ajGI1sVj9wnqThJHwPS,48,2016-02-26,6.34
Papaoutai,34dx8DACTJsc3rsJdaEIQw,76,2013-01-01,3.87
Ojuelegba,1AtBzcUzKLh4BGwXhFA9K6,67,2014-09-17,3.6
Ghost,2UssqF6EaiZwfJJV2PV4rw,45,2010-01-01,3.82
Kiss Kiss (feat. T-Pain),544wx7ulaLbPEecrnYr5uZ,0,2007-11-01,4.18
1999 WILDFIRE,1t4pPnbkOjzoA5RvsDjvUU,57,2018-07-07,4.19
Mmmh,5dntGTbUtmUO239wQ0k3yM,70,2020-11-30,3.21
Rei Lacoste,61thYEZIICmWwciMxInITt,53,2021-08-04,2.53
chAngE,4dW80zBgl9BfWxi5upKgt1,41,2010-09-01,4.16
Cool,469RmLzEsicj8VSn9aIuKV,61,2004-11-12,3.16
São Paulo (feat. Anitta),0xGQTpN4ESETtl1Sp6rzd2,70,2024-10-31,5.03
Life 2,5iqDZV5Sxez6KtPBgDw2da,57,2024-10-17,3.39
Swine,6AczxDV0grtXZZ7h8xI5cS,58,2013-11-11,4.48
Waking Up In Vegas,6fvxos1qSHrIgOkKw4dhWS,61,2008-06-17,3.32
Mas Que Nada,6U7GUjtamt2P0LcFod1dBT,68,2006-01-01,4.38
Happy Pum Pum,4U131kkXsYORtAu8rPSsPd,52,2014-04-29,3.55
Disease,19KlZwqlT3fguP2BeHF1Q1,80,2024-10-25,3.83
Perfect Stranger,5ZLfgxU8yDwwMQXA2OSFlb,52,2024-10-17,3.29
I'm Real - Murder Remix,7rOIWUhSfjWh4E7443PYE8,1,1999,4.31
Chained To The Rhythm,7qvxFz3JodM0A7xEM7k3YD,74,2017-06-09,3.96
MILLION DOLLAR BABY,5AJ9hqTS2wcFQCELCFRO7A,88,2024-04-26,2.59
Sweet One,7BxWEstQxXtjczBE7ErYrE,57,2020-10-29,4.18
Hit & Run (feat. Masicka & Di Genius),0ZozwNxlrIRfBAhAibtM4M,67,2024-05-24,2.83
Sonne,4w3R0GZ2rScJMKlgPJzHRq,73,2001-04-02,4.54
Mean girls featuring julian casablancas,11J4S7N9cyB1Xvx2ClzTkt,55,2024-10-11,3.78
B2b featuring tinashe,2xsvVV9DXvYtqXId9Uf2ra,62,2024-10-11,2.56
Apple featuring the japanese house,1PJe42QnCMD6JqhcooaWzc,61,2024-10-11,2.62
Everything is romantic featuring caroline polachek,1RGidCmtrqER8GBs8TnG9C,64,2024-10-11,3.4
Stand on the Word - Studio Version,5vENdsWnbqEBK54OowpBlR,41,2016-08-26,5.06
Super Lover,0SfjaFOFQM0bu9C06Nle5c,24,1979-01-31,6.05
GIRLS,3Fra5SMXXDTSRXVoDf8Xwd,73,2024-08-09,2.55
